country,source_title,excerpt,geo_location,water_source,sanitation_type,sector,gender,age_group,income_level,infrastructure_type,population_density,climate_zone,year,organization,source_type,special_needs_group,severity,water_color,water_clarity,water_odor,recent_rain,nearby_activities,nearby_infrastructure,vegetation_near_source,waste_disposal_nearby,animal_access,water_flow_rate
Bangladesh,Red Cross Reports Severe Water Crisis,Contaminated water sources have led to increased diarrheal diseases among children.,20.4543405,Well,Open Defecation,Health,Male,Youth,Middle,Peri-Urban,Medium,Arid,2024,Water.org,Field Survey,Disabled,Unsafe,green,turbid,chemical,no,mining,waste facilities,dead,open dumping,no,flowing
Ethiopia,WHO Update: Improved Sanitation Efforts,Public health officials confirm improved sanitation infrastructure and hygiene practices.,-0.1466405,Protected Spring,Flush Toilet,Education,Female,Youth,High,Refugee Camp,Sparse,Tropical,2016,Red Cross,Gov Report,Pregnant Women,Safe,clear,clear,none,no,none,none,lush,none,no,flowing
Nigeria,Aid Workers Warn of Contamination Risks,No treatment observed; water smells foul and residents rely on unsafe open sources.,-12.086111,Rainwater,Pit Latrine,Public Infrastructure,Female,Child,High,Urban Slum,Medium,Semi-Arid,2015,Red Cross,NGO Report,Children Under 5,Unsafe,green,cloudy,sewage,no,none,waste facilities,sparse,none,yes,slow
Bangladesh,Local Health Board: Water Safety Achieved,Treated water systems have significantly reduced reported illnesses in the area.,-39.538155,Protected Spring,Flush Toilet,Education,Male,Child,High,Refugee Camp,Dense,Temperate,2021,WHO,NGO Report,Pregnant Women,Safe,clear,clear,none,no,none,none,lush,none,no,flowing
Ethiopia,Aid Workers Warn of Contamination Risks,No treatment observed; water smells foul and residents rely on unsafe open sources.,27.8361965,Piped Water,Flush Toilet,Education,Male,Adult,Low,Refugee Camp,Sparse,Arid,2023,WHO,Field Survey,Disabled,Unsafe,brown,clear,chemical,yes,mining,sewage lines,dead,managed sites,yes,flowing
Bangladesh,Outbreak Sparks Sanitation Review,"Field reports indicate raw sewage mixes with local water, posing high health risks.",-7.076979,River,Open Defecation,Health,Female,Child,High,Refugee Camp,Sparse,Arid,2019,Save the Children,Field Survey,Disabled,Unsafe,green,clear,chemical,yes,sewage treatment,waste facilities,dead,none,yes,slow
Bangladesh,Local Health Board: Water Safety Achieved,Treated water systems have significantly reduced reported illnesses in the area.,58.7777795,River,Composting Toilet,Agriculture,Male,Child,Middle,Peri-Urban,Dense,Temperate,2015,Save the Children,Field Survey,Children Under 5,Safe,clear,clear,none,no,none,none,lush,none,no,flowing
Nepal,WHO Update: Improved Sanitation Efforts,"Residents now report consistent access to clean, odorless, and safe water.",40.395084,Rainwater,Flush Toilet,Public Infrastructure,Male,Youth,Middle,Urban Slum,Sparse,Arid,2016,Red Cross,Gov Report,Pregnant Women,Safe,clear,clear,none,no,none,none,lush,none,no,flowing
Nigeria,Red Cross Reports Severe Water Crisis,"Field reports indicate raw sewage mixes with local water, posing high health risks.",59.427595,Well,Composting Toilet,Health,Female,Elderly,Middle,Urban Slum,Medium,Arid,2019,Red Cross,Academic Paper,Pregnant Women,Unsafe,clear,turbid,sewage,yes,none,sewage lines,dead,none,no,flowing
Nigeria,WHO Update: Improved Sanitation Efforts,Public health officials confirm improved sanitation infrastructure and hygiene practices.,49.4416595,River,Flush Toilet,Education,Male,Adult,Middle,Rural Village,Dense,Tropical,2022,WHO,Gov Report,Disabled,Safe,clear,clear,none,no,none,none,lush,none,no,flowing
Somalia,WHO Update: Improved Sanitation Efforts,Treated water systems have significantly reduced reported illnesses in the area.,66.7580185,Piped Water,Flush Toilet,Education,Female,Elderly,Low,Urban Slum,Sparse,Temperate,2019,WHO,NGO Report,Disabled,Safe,clear,clear,none,no,none,none,lush,none,no,flowing
India,Red Cross Reports Severe Water Crisis,"Field reports indicate raw sewage mixes with local water, posing high health risks.",-28.5498245,Borehole,Pit Latrine,Education,Male,Child,Low,Refugee Camp,Medium,Temperate,2024,UNICEF,Field Survey,Pregnant Women,Unsafe,clear,clear,none,yes,mining,none,lush,open dumping,no,stagnant
India,Outbreak Sparks Sanitation Review,No treatment observed; water smells foul and residents rely on unsafe open sources.,-87.620611,Protected Spring,Open Defecation,Public Infrastructure,Female,Elderly,Middle,Refugee Camp,Dense,Temperate,2020,UNICEF,NGO Report,Children Under 5,Unsafe,green,clear,chemical,yes,farming,sewage lines,sparse,none,yes,flowing
DR Congo,Aid Workers Warn of Contamination Risks,"Field reports indicate raw sewage mixes with local water, posing high health risks.",-3.0701925,Truck Delivery,Composting Toilet,Public Infrastructure,Male,Adult,Middle,Peri-Urban,Medium,Temperate,2020,Save the Children,Field Survey,Elderly,Unsafe,green,cloudy,chemical,yes,farming,none,lush,open dumping,no,stagnant
Nigeria,UNICEF Field Report on Water Quality,"Residents now report consistent access to clean, odorless, and safe water.",45.2076055,Protected Spring,Flush Toilet,Agriculture,Male,Child,Low,Peri-Urban,Dense,Arid,2023,Water.org,NGO Report,Elderly,Safe,clear,clear,none,no,none,none,lush,none,no,flowing
Somalia,Outbreak Sparks Sanitation Review,No treatment observed; water smells foul and residents rely on unsafe open sources.,9.9021435,Truck Delivery,Composting Toilet,Health,Female,Youth,Middle,Urban Slum,Dense,Arid,2022,Save the Children,Academic Paper,Elderly,Unsafe,green,turbid,chemical,yes,sewage treatment,sewage lines,sparse,none,yes,flowing
Uganda,Red Cross Reports Severe Water Crisis,No treatment observed; water smells foul and residents rely on unsafe open sources.,11.817528,Rainwater,Open Defecation,Agriculture,Male,Child,Low,Peri-Urban,Sparse,Arid,2024,Save the Children,Gov Report,,Unsafe,brown,clear,chemical,yes,mining,none,sparse,managed sites,yes,slow
Nigeria,WHO Update: Improved Sanitation Efforts,Treated water systems have significantly reduced reported illnesses in the area.,-36.8639625,Borehole,Flush Toilet,Health,Male,Elderly,Middle,Urban Slum,Medium,Arid,2016,Save the Children,Gov Report,Pregnant Women,Safe,clear,clear,none,no,none,none,lush,none,no,flowing
Bangladesh,Local Health Board: Water Safety Achieved,Treated water systems have significantly reduced reported illnesses in the area.,41.650777,Truck Delivery,Flush Toilet,Agriculture,Male,Child,Low,Refugee Camp,Medium,Temperate,2016,Save the Children,NGO Report,Elderly,Safe,clear,clear,none,no,none,none,lush,none,no,flowing
Somalia,Outbreak Sparks Sanitation Review,"Field reports indicate raw sewage mixes with local water, posing high health risks.",54.9300195,River,Composting Toilet,Health,Female,Child,High,Urban Slum,Sparse,Temperate,2019,UNICEF,Academic Paper,Pregnant Women,Unsafe,murky,turbid,none,yes,none,none,sparse,open dumping,yes,stagnant
Nigeria,Outbreak Sparks Sanitation Review,No treatment observed; water smells foul and residents rely on unsafe open sources.,10.935658,Truck Delivery,Open Defecation,Health,Female,Adult,Low,Refugee Camp,Dense,Temperate,2020,Save the Children,NGO Report,Pregnant Women,Unsafe,clear,turbid,sewage,no,mining,sewage lines,sparse,none,no,slow
Bangladesh,Outbreak Sparks Sanitation Review,Contaminated water sources have led to increased diarrheal diseases among children.,58.523278,Well,Composting Toilet,Education,Male,Youth,Middle,Rural Village,Medium,Temperate,2021,Water.org,Gov Report,Pregnant Women,Unsafe,green,turbid,chemical,no,mining,waste facilities,sparse,none,yes,stagnant
Kenya,WHO Update: Improved Sanitation Efforts,"Residents now report consistent access to clean, odorless, and safe water.",-6.4737375,Well,Composting Toilet,Public Infrastructure,Male,Adult,Middle,Urban Slum,Medium,Semi-Arid,2022,Water.org,Academic Paper,Children Under 5,Safe,clear,clear,none,no,none,none,lush,none,no,flowing
Uganda,Outbreak Sparks Sanitation Review,No treatment observed; water smells foul and residents rely on unsafe open sources.,73.460737,Truck Delivery,Open Defecation,Public Infrastructure,Male,Child,Middle,Refugee Camp,Medium,Arid,2025,WHO,Field Survey,Children Under 5,Unsafe,green,turbid,chemical,no,mining,waste facilities,lush,managed sites,no,stagnant
DR Congo,Red Cross Reports Severe Water Crisis,"Field reports indicate raw sewage mixes with local water, posing high health risks.",45.784602,Protected Spring,Composting Toilet,Education,Female,Adult,High,Refugee Camp,Medium,Tropical,2022,WHO,Field Survey,Disabled,Unsafe,green,clear,sewage,yes,farming,none,dead,open dumping,no,flowing
DR Congo,Outbreak Sparks Sanitation Review,Contaminated water sources have led to increased diarrheal diseases among children.,-66.65501,Well,Flush Toilet,Agriculture,Male,Elderly,Middle,Rural Village,Dense,Arid,2020,WHO,Academic Paper,Pregnant Women,Unsafe,brown,turbid,none,yes,sewage treatment,none,sparse,managed sites,no,slow
Bangladesh,Red Cross Reports Severe Water Crisis,"Field reports indicate raw sewage mixes with local water, posing high health risks.",-68.320682,Protected Spring,Open Defecation,Public Infrastructure,Male,Child,High,Peri-Urban,Medium,Semi-Arid,2015,Save the Children,NGO Report,Pregnant Women,Unsafe,brown,cloudy,none,yes,farming,sewage lines,dead,managed sites,no,stagnant
Nigeria,Aid Workers Warn of Contamination Risks,Contaminated water sources have led to increased diarrheal diseases among children.,-70.192424,Borehole,Open Defecation,Public Infrastructure,Male,Child,High,Urban Slum,Dense,Arid,2016,Red Cross,Field Survey,Elderly,Unsafe,murky,turbid,chemical,yes,mining,none,dead,open dumping,yes,stagnant
DR Congo,Red Cross Reports Severe Water Crisis,Contaminated water sources have led to increased diarrheal diseases among children.,-43.659962,Piped Water,Flush Toilet,Agriculture,Female,Child,Low,Peri-Urban,Medium,Semi-Arid,2016,Red Cross,Academic Paper,Disabled,Unsafe,brown,clear,sewage,no,farming,none,dead,none,yes,flowing
Kenya,UNICEF Field Report on Water Quality,"Residents now report consistent access to clean, odorless, and safe water.",-83.4047205,Protected Spring,Open Defecation,Public Infrastructure,Female,Child,High,Urban Slum,Sparse,Temperate,2018,UNICEF,Gov Report,Elderly,Safe,clear,clear,none,no,none,none,lush,none,no,flowing
Bangladesh,Aid Workers Warn of Contamination Risks,Contaminated water sources have led to increased diarrheal diseases among children.,35.1327095,Well,Flush Toilet,Public Infrastructure,Female,Adult,Low,Refugee Camp,Medium,Semi-Arid,2018,WHO,NGO Report,Children Under 5,Unsafe,green,cloudy,none,yes,mining,sewage lines,lush,none,no,flowing
India,WHO Update: Improved Sanitation Efforts,"Residents now report consistent access to clean, odorless, and safe water.",48.7433915,Well,Flush Toilet,Health,Male,Youth,Middle,Refugee Camp,Sparse,Arid,2025,Water.org,Academic Paper,Elderly,Safe,clear,clear,none,no,none,none,lush,none,no,flowing
Bangladesh,UNICEF Field Report on Water Quality,Treated water systems have significantly reduced reported illnesses in the area.,87.458551,River,Pit Latrine,Education,Male,Youth,High,Refugee Camp,Medium,Tropical,2015,Red Cross,NGO Report,Disabled,Safe,clear,clear,none,no,none,none,lush,none,no,flowing
Uganda,Aid Workers Warn of Contamination Risks,No treatment observed; water smells foul and residents rely on unsafe open sources.,32.909303,Borehole,Open Defecation,Agriculture,Male,Elderly,High,Refugee Camp,Sparse,Arid,2019,Red Cross,Academic Paper,Elderly,Unsafe,green,cloudy,chemical,yes,farming,none,sparse,managed sites,yes,flowing
Nigeria,Outbreak Sparks Sanitation Review,"Field reports indicate raw sewage mixes with local water, posing high health risks.",13.5240945,Rainwater,Composting Toilet,Public Infrastructure,Female,Youth,Low,Peri-Urban,Dense,Semi-Arid,2015,Water.org,Field Survey,Pregnant Women,Unsafe,clear,clear,chemical,no,sewage treatment,none,dead,open dumping,no,flowing
Ethiopia,Red Cross Reports Severe Water Crisis,No treatment observed; water smells foul and residents rely on unsafe open sources.,-71.244926,Protected Spring,Pit Latrine,Health,Male,Elderly,High,Rural Village,Sparse,Arid,2021,Red Cross,Field Survey,,Unsafe,clear,turbid,chemical,yes,mining,waste facilities,dead,open dumping,yes,stagnant
India,Aid Workers Warn of Contamination Risks,Contaminated water sources have led to increased diarrheal diseases among children.,69.177431,Rainwater,Open Defecation,Public Infrastructure,Male,Adult,Middle,Refugee Camp,Dense,Tropical,2020,Save the Children,NGO Report,Disabled,Unsafe,murky,turbid,chemical,yes,farming,sewage lines,dead,managed sites,no,flowing
Uganda,Red Cross Reports Severe Water Crisis,"Field reports indicate raw sewage mixes with local water, posing high health risks.",-38.2514845,Piped Water,Pit Latrine,Health,Female,Elderly,Low,Refugee Camp,Medium,Semi-Arid,2019,Save the Children,Field Survey,Children Under 5,Unsafe,murky,cloudy,none,yes,mining,none,dead,none,no,slow
Nigeria,Aid Workers Warn of Contamination Risks,Contaminated water sources have led to increased diarrheal diseases among children.,18.2054025,Rainwater,Composting Toilet,Health,Male,Elderly,Low,Rural Village,Medium,Temperate,2016,Save the Children,NGO Report,Disabled,Unsafe,green,turbid,chemical,no,mining,waste facilities,sparse,none,yes,slow
Uganda,Red Cross Reports Severe Water Crisis,No treatment observed; water smells foul and residents rely on unsafe open sources.,-37.728431,River,Composting Toilet,Agriculture,Female,Child,Low,Peri-Urban,Sparse,Semi-Arid,2022,Red Cross,Academic Paper,,Unsafe,murky,cloudy,none,no,sewage treatment,none,sparse,open dumping,no,stagnant
Ethiopia,WHO Update: Improved Sanitation Efforts,Treated water systems have significantly reduced reported illnesses in the area.,37.671405,Borehole,Composting Toilet,Public Infrastructure,Male,Child,Low,Urban Slum,Sparse,Arid,2024,Water.org,NGO Report,Disabled,Safe,clear,clear,none,no,none,none,lush,none,no,flowing
Ethiopia,Red Cross Reports Severe Water Crisis,"Field reports indicate raw sewage mixes with local water, posing high health risks.",28.060243,River,Composting Toilet,Education,Female,Adult,High,Peri-Urban,Dense,Temperate,2018,WHO,Field Survey,Children Under 5,Unsafe,green,cloudy,sewage,yes,none,sewage lines,sparse,open dumping,no,slow
DR Congo,WHO Update: Improved Sanitation Efforts,Treated water systems have significantly reduced reported illnesses in the area.,28.218177,Piped Water,Flush Toilet,Health,Female,Child,High,Refugee Camp,Dense,Tropical,2025,Save the Children,NGO Report,Disabled,Safe,clear,clear,none,no,none,none,lush,none,no,flowing
India,Outbreak Sparks Sanitation Review,No treatment observed; water smells foul and residents rely on unsafe open sources.,-12.406559,River,Pit Latrine,Public Infrastructure,Female,Child,Low,Refugee Camp,Dense,Temperate,2023,Water.org,Academic Paper,Children Under 5,Unsafe,murky,turbid,sewage,yes,farming,sewage lines,sparse,none,no,slow
Uganda,UNICEF Field Report on Water Quality,Treated water systems have significantly reduced reported illnesses in the area.,-83.546928,Rainwater,Flush Toilet,Education,Female,Elderly,High,Urban Slum,Dense,Temperate,2025,Red Cross,Academic Paper,Disabled,Safe,clear,clear,none,no,none,none,lush,none,no,flowing
Uganda,Outbreak Sparks Sanitation Review,"Field reports indicate raw sewage mixes with local water, posing high health risks.",-71.2168085,Borehole,Flush Toilet,Health,Male,Elderly,Middle,Rural Village,Sparse,Temperate,2022,Save the Children,Academic Paper,,Unsafe,green,clear,sewage,no,sewage treatment,waste facilities,sparse,managed sites,no,slow
Kenya,Red Cross Reports Severe Water Crisis,"Field reports indicate raw sewage mixes with local water, posing high health risks.",-44.3964235,Borehole,Composting Toilet,Health,Male,Adult,Low,Rural Village,Sparse,Temperate,2025,Water.org,Academic Paper,Pregnant Women,Unsafe,clear,turbid,chemical,no,sewage treatment,waste facilities,lush,managed sites,no,stagnant
Uganda,Local Health Board: Water Safety Achieved,"Residents now report consistent access to clean, odorless, and safe water.",-83.546928,Rainwater,Flush Toilet,Education,Female,Elderly,High,Urban Slum,Dense,Temperate,2025,Red Cross,Academic Paper,Disabled,Safe,clear,clear,none,no,none,none,lush,none,no,flowing
Haiti,Aid Workers Warn of Contamination Risks,No treatment observed; water smells foul and residents rely on unsafe open sources.,-43.701935,Well,Flush Toilet,Agriculture,Female,Youth,High,Rural Village,Medium,Temperate,2024,Save the Children,Academic Paper,,Unsafe,green,clear,sewage,no,none,sewage lines,dead,managed sites,yes,stagnant
Kenya,Local Health Board: Water Safety Achieved,Treated water systems have significantly reduced reported illnesses in the area.,-6.4737375,Well,Composting Toilet,Public Infrastructure,Male,Adult,Middle,Urban Slum,Medium,Semi-Arid,2022,Water.org,Academic Paper,Children Under 5,Safe,clear,clear,none,no,none,none,lush,none,no,flowing
Nigeria,WHO Update: Improved Sanitation Efforts,Treated water systems have significantly reduced reported illnesses in the area.,49.4416595,River,Flush Toilet,Education,Male,Adult,Middle,Rural Village,Dense,Tropical,2022,WHO,Gov Report,Disabled,Safe,clear,clear,none,no,none,none,lush,none,no,flowing
Bangladesh,Red Cross Reports Severe Water Crisis,Contaminated water sources have led to increased diarrheal diseases among children.,17.3034255,Protected Spring,Flush Toilet,Health,Male,Adult,High,Urban Slum,Dense,Temperate,2018,Water.org,Gov Report,,Unsafe,brown,clear,sewage,no,sewage treatment,waste facilities,sparse,none,no,stagnant
Bangladesh,Local Health Board: Water Safety Achieved,Public health officials confirm improved sanitation infrastructure and hygiene practices.,-52.8828475,Truck Delivery,Open Defecation,Agriculture,Female,Child,Middle,Peri-Urban,Dense,Arid,2022,Water.org,Academic Paper,Pregnant Women,Safe,clear,clear,none,no,none,none,lush,none,no,flowing
Nepal,Aid Workers Warn of Contamination Risks,No treatment observed; water smells foul and residents rely on unsafe open sources.,-55.867319,Rainwater,Composting Toilet,Health,Female,Elderly,Low,Rural Village,Medium,Arid,2015,Water.org,Academic Paper,Elderly,Unsafe,brown,clear,none,no,sewage treatment,none,lush,open dumping,yes,flowing
Nigeria,Aid Workers Warn of Contamination Risks,Contaminated water sources have led to increased diarrheal diseases among children.,-23.0330955,Truck Delivery,Open Defecation,Public Infrastructure,Male,Child,High,Refugee Camp,Dense,Tropical,2016,UNICEF,Academic Paper,Elderly,Unsafe,brown,turbid,chemical,no,none,none,dead,none,yes,flowing
Somalia,Red Cross Reports Severe Water Crisis,Contaminated water sources have led to increased diarrheal diseases among children.,-70.553783,Protected Spring,Pit Latrine,Public Infrastructure,Female,Youth,High,Urban Slum,Sparse,Temperate,2017,Water.org,NGO Report,,Unsafe,green,clear,none,yes,farming,waste facilities,lush,none,yes,flowing
Ethiopia,Outbreak Sparks Sanitation Review,"Field reports indicate raw sewage mixes with local water, posing high health risks.",-0.765455,Piped Water,Open Defecation,Public Infrastructure,Male,Youth,Low,Urban Slum,Dense,Arid,2015,UNICEF,Field Survey,Elderly,Unsafe,clear,cloudy,sewage,no,sewage treatment,waste facilities,lush,open dumping,no,slow
Bangladesh,Local Health Board: Water Safety Achieved,Treated water systems have significantly reduced reported illnesses in the area.,87.458551,River,Pit Latrine,Education,Male,Youth,High,Refugee Camp,Medium,Tropical,2015,Red Cross,NGO Report,Disabled,Safe,clear,clear,none,no,none,none,lush,none,no,flowing
Bangladesh,Aid Workers Warn of Contamination Risks,No treatment observed; water smells foul and residents rely on unsafe open sources.,9.814396,Protected Spring,Composting Toilet,Public Infrastructure,Male,Youth,High,Rural Village,Sparse,Arid,2017,Save the Children,Field Survey,Pregnant Women,Unsafe,clear,clear,sewage,yes,mining,sewage lines,dead,managed sites,no,stagnant
DR Congo,Local Health Board: Water Safety Achieved,"Residents now report consistent access to clean, odorless, and safe water.",-46.6965155,Protected Spring,Composting Toilet,Public Infrastructure,Male,Adult,High,Urban Slum,Dense,Temperate,2017,Water.org,Academic Paper,,Safe,clear,clear,none,no,none,none,lush,none,no,flowing
Haiti,Red Cross Reports Severe Water Crisis,"Field reports indicate raw sewage mixes with local water, posing high health risks.",-75.900421,Protected Spring,Composting Toilet,Agriculture,Female,Elderly,Middle,Refugee Camp,Sparse,Semi-Arid,2025,Red Cross,Field Survey,Disabled,Unsafe,brown,clear,none,yes,farming,sewage lines,lush,none,no,slow
Nigeria,Red Cross Reports Severe Water Crisis,"Field reports indicate raw sewage mixes with local water, posing high health risks.",11.869449,Rainwater,Flush Toilet,Education,Female,Elderly,Low,Rural Village,Sparse,Temperate,2016,Red Cross,Field Survey,Children Under 5,Unsafe,murky,clear,none,yes,farming,waste facilities,lush,none,no,stagnant
Somalia,Aid Workers Warn of Contamination Risks,No treatment observed; water smells foul and residents rely on unsafe open sources.,62.065231,Borehole,Open Defecation,Health,Female,Adult,Low,Refugee Camp,Dense,Arid,2025,WHO,NGO Report,Pregnant Women,Unsafe,green,clear,none,no,none,none,lush,open dumping,no,flowing
Bangladesh,Red Cross Reports Severe Water Crisis,"Field reports indicate raw sewage mixes with local water, posing high health risks.",-56.09573,Protected Spring,Pit Latrine,Public Infrastructure,Male,Elderly,Low,Peri-Urban,Sparse,Temperate,2015,UNICEF,Field Survey,Disabled,Unsafe,brown,turbid,chemical,no,sewage treatment,sewage lines,lush,none,yes,flowing
Ethiopia,Aid Workers Warn of Contamination Risks,No treatment observed; water smells foul and residents rely on unsafe open sources.,28.9390315,River,Pit Latrine,Education,Female,Adult,Middle,Urban Slum,Medium,Temperate,2021,Red Cross,NGO Report,Disabled,Unsafe,clear,clear,chemical,yes,farming,waste facilities,sparse,managed sites,yes,flowing
Bangladesh,Local Health Board: Water Safety Achieved,Public health officials confirm improved sanitation infrastructure and hygiene practices.,87.458551,River,Pit Latrine,Education,Male,Youth,High,Refugee Camp,Medium,Tropical,2015,Red Cross,NGO Report,Disabled,Safe,clear,clear,none,no,none,none,lush,none,no,flowing
